T1,4786,4786,5000,T1,名詞,固有名詞,一般,*,*,*,T1,T1,*,*,*,*,*
T2,4786,4786,5000,T2,名詞,固有名詞,一般,*,*,*,T2,T2,*,*,*,*,*
T3,4786,4786,5000,T3,名詞,固有名詞,一般,*,*,*,T3,T3,*,*,*,*,*
T4,4786,4786,5000,T4,名詞,固有名詞,一般,*,*,*,T4,T4,*,*,*,*,*
T5,4786,4786,5000,T5,名詞,固有名詞,一般,*,*,*,T5,T5,*,*,*,*,*
T6,4786,4786,5000,T6,名詞,固有名詞,一般,*,*,*,T6,T6,*,*,*,*,*
T7,4786,4786,5000,T7,名詞,固有名詞,一般,*,*,*,T7,T7,*,*,*,*,*
T8,4786,4786,5000,T8,名詞,固有名詞,一般,*,*,*,T8,T8,*,*,*,*,*
T9,4786,4786,5000,T9,名詞,固有名詞,一般,*,*,*,T9,T9,*,*,*,*,*
T10,4786,4786,5000,T10,名詞,固有名詞,一般,*,*,*,T10,T10,*,*,*,*,*
T11,4786,4786,5000,T11,名詞,固有名詞,一般,*,*,*,T11,T11,*,*,*,*,*
T12,4786,4786,5000,T12,名詞,固有名詞,一般,*,*,*,T12,T12,*,*,*,*,*
T13,4786,4786,5000,T13,名詞,固有名詞,一般,*,*,*,T13,T13,*,*,*,*,*
T14,4786,4786,5000,T14,名詞,固有名詞,一般,*,*,*,T14,T14,*,*,*,*,*
T15,4786,4786,5000,T15,名詞,固有名詞,一般,*,*,*,T15,T15,*,*,*,*,*
T16,4786,4786,5000,T16,名詞,固有名詞,一般,*,*,*,T16,T16,*,*,*,*,*
T17,4786,4786,5000,T17,名詞,固有名詞,一般,*,*,*,T17,T17,*,*,*,*,*
T18,4786,4786,5000,T18,名詞,固有名詞,一般,*,*,*,T18,T18,*,*,*,*,*
T19,4786,4786,5000,T19,名詞,固有名詞,一般,*,*,*,T19,T19,*,*,*,*,*
T20,4786,4786,5000,T20,名詞,固有名詞,一般,*,*,*,T20,T20,*,*,*,*,*
T21,4786,4786,5000,T21,名詞,固有名詞,一般,*,*,*,T21,T21,*,*,*,*,*
T22,4786,4786,5000,T22,名詞,固有名詞,一般,*,*,*,T22,T22,*,*,*,*,*
